Res1;Res2;Res3;Res4;Res5;Res6;Res7;Res8;Res9
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
0.407647618;1.474576947;1.061122525;1.538555082;0.379502439;0.063310415;3.433732199;;;
